[ PEASANT ID: 0, MOVE to (5, 8)]
[ PEASANT ID: 0, HARVEST from (4, 7)]
[ PEASANT ID: 0, MOVE to (7, 8)]
[ PEASANT ID: 0, DEPOSIT (7, 8)]
[ PEASANT ID: 0, MOVE to (14, 4)]
[ PEASANT ID: 0, HARVEST from (15, 3)]
[ PEASANT ID: 0, MOVE to (9, 8)]
[ PEASANT ID: 0, DEPOSIT (9, 8)]
[ PEASANT ID: 0, MOVE to (14, 4)]
[ PEASANT ID: 0, HARVEST from (15, 3)]
[ PEASANT ID: 0, MOVE to (9, 8)]
[ PEASANT ID: 0, DEPOSIT (9, 8)]
[ PEASANT ID: 0, MOVE to (14, 4)]
[ PEASANT ID: 0, HARVEST from (15, 3)]
[ PEASANT ID: 0, MOVE to (9, 8)]
[ PEASANT ID: 0, DEPOSIT (9, 8)]
[ PEASANT ID: 0 BUILDING A PEASANT WITH ID: 1] 

[ PEASANT ID: 1, MOVE to (21, 15)]
[ PEASANT ID: 0, MOVE to (14, 4)]
[ PEASANT ID: 1, HARVEST from (22, 16)]
[ PEASANT ID: 0, HARVEST from (15, 3)]
[ PEASANT ID: 1, MOVE to (9, 10)]
[ PEASANT ID: 0, MOVE to (9, 8)]
[ PEASANT ID: 1, DEPOSIT (9, 10)]
[ PEASANT ID: 0, DEPOSIT (9, 8)]
[ PEASANT ID: 1, MOVE to (21, 15)]
[ PEASANT ID: 0, MOVE to (14, 4)]
[ PEASANT ID: 1, HARVEST from (22, 16)]
[ PEASANT ID: 0, HARVEST from (15, 3)]
[ PEASANT ID: 1, MOVE to (9, 10)]
[ PEASANT ID: 0, MOVE to (9, 8)]
[ PEASANT ID: 1, DEPOSIT (9, 10)]
[ PEASANT ID: 0, DEPOSIT (9, 8)]
[ PEASANT ID: 1 BUILDING A PEASANT WITH ID: 2] 

[ PEASANT ID: 0, MOVE to (21, 15)]
[ PEASANT ID: 2, MOVE to (5, 11)]
[ PEASANT ID: 1, MOVE to (21, 15)]
[ PEASANT ID: 0, HARVEST from (22, 16)]
[ PEASANT ID: 2, HARVEST from (4, 12)]
[ PEASANT ID: 1, HARVEST from (22, 16)]
[ PEASANT ID: 0, MOVE to (9, 10)]
[ PEASANT ID: 2, MOVE to (7, 10)]
[ PEASANT ID: 1, MOVE to (9, 10)]
[ PEASANT ID: 0, DEPOSIT (9, 10)]
[ PEASANT ID: 2, DEPOSIT (7, 10)]
[ PEASANT ID: 1, DEPOSIT (9, 10)]
[ PEASANT ID: 0, MOVE to (21, 15)]
[ PEASANT ID: 2, MOVE to (5, 11)]
[ PEASANT ID: 1, MOVE to (21, 15)]
[ PEASANT ID: 0, HARVEST from (22, 16)]
[ PEASANT ID: 2, HARVEST from (4, 12)]
[ PEASANT ID: 1, HARVEST from (22, 16)]
[ PEASANT ID: 0, MOVE to (9, 10)]
[ PEASANT ID: 2, MOVE to (7, 10)]
[ PEASANT ID: 1, MOVE to (9, 10)]
[ PEASANT ID: 0, DEPOSIT (9, 10)]
[ PEASANT ID: 2, DEPOSIT (7, 10)]
[ PEASANT ID: 1, DEPOSIT (9, 10)]
[ PEASANT ID: 0, MOVE to (21, 15)]
[ PEASANT ID: 2, MOVE to (5, 11)]
[ PEASANT ID: 1, MOVE to (21, 15)]
[ PEASANT ID: 0, HARVEST from (22, 16)]
[ PEASANT ID: 2, HARVEST from (4, 12)]
[ PEASANT ID: 1, HARVEST from (22, 16)]
[ PEASANT ID: 0, MOVE to (9, 10)]
[ PEASANT ID: 2, MOVE to (7, 10)]
[ PEASANT ID: 1, MOVE to (9, 10)]
[ PEASANT ID: 0, DEPOSIT (9, 10)]
[ PEASANT ID: 2, DEPOSIT (7, 10)]
[ PEASANT ID: 1, DEPOSIT (9, 10)]
[ PEASANT ID: 0, MOVE to (21, 15)]
[ PEASANT ID: 2, MOVE to (5, 11)]
[ PEASANT ID: 1, MOVE to (21, 15)]
[ PEASANT ID: 0, HARVEST from (22, 16)]
[ PEASANT ID: 2, HARVEST from (4, 12)]
[ PEASANT ID: 1, HARVEST from (22, 16)]
[ PEASANT ID: 0, MOVE to (9, 10)]
[ PEASANT ID: 2, MOVE to (7, 10)]
[ PEASANT ID: 1, MOVE to (9, 10)]
[ PEASANT ID: 0, DEPOSIT (9, 10)]
[ PEASANT ID: 2, DEPOSIT (7, 10)]
[ PEASANT ID: 1, DEPOSIT (9, 10)]
[ PEASANT ID: 0, MOVE to (21, 15)]
[ PEASANT ID: 2, MOVE to (11, 12)]
[ PEASANT ID: 1, MOVE to (21, 15)]
[ PEASANT ID: 0, HARVEST from (22, 16)]
[ PEASANT ID: 2, HARVEST from (12, 13)]
[ PEASANT ID: 1, HARVEST from (22, 16)]
[ PEASANT ID: 0, MOVE to (9, 10)]
[ PEASANT ID: 2, MOVE to (9, 10)]
[ PEASANT ID: 1, MOVE to (9, 10)]
[ PEASANT ID: 0, DEPOSIT (9, 10)]
[ PEASANT ID: 2, DEPOSIT (9, 10)]
[ PEASANT ID: 1, DEPOSIT (9, 10)]
[ PEASANT ID: 0, MOVE to (11, 12)]
[ PEASANT ID: 2, MOVE to (11, 12)]
[ PEASANT ID: 1, MOVE to (11, 12)]
[ PEASANT ID: 0, HARVEST from (12, 13)]
[ PEASANT ID: 2, HARVEST from (12, 13)]
[ PEASANT ID: 1, HARVEST from (12, 13)]
[ PEASANT ID: 0, MOVE to (9, 10)]
[ PEASANT ID: 2, MOVE to (9, 10)]
[ PEASANT ID: 1, MOVE to (9, 10)]
[ PEASANT ID: 0, DEPOSIT (9, 10)]
[ PEASANT ID: 2, DEPOSIT (9, 10)]
[ PEASANT ID: 1, DEPOSIT (9, 10)]
[ PEASANT ID: 0, MOVE to (16, 10)]
[ PEASANT ID: 2, MOVE to (16, 10)]
[ PEASANT ID: 1, MOVE to (16, 10)]
[ PEASANT ID: 0, HARVEST from (17, 9)]
[ PEASANT ID: 2, HARVEST from (17, 9)]
[ PEASANT ID: 1, HARVEST from (17, 9)]
[ PEASANT ID: 0, MOVE to (9, 10)]
[ PEASANT ID: 2, MOVE to (9, 10)]
[ PEASANT ID: 1, MOVE to (9, 10)]
[ PEASANT ID: 0, DEPOSIT (9, 10)]
[ PEASANT ID: 2, DEPOSIT (9, 10)]
[ PEASANT ID: 1, DEPOSIT (9, 10)]
[ PEASANT ID: 0, MOVE to (16, 10)]
